Aux out [V]	Aux in [V]	PDH out [a.u.]
-3.3607E-1	8.0141E-1	1.0580E+3
-3.3571E-1	7.9680E-1	6.8700E+2
-3.3536E-1	7.9704E-1	1.1260E+3
-3.3512E-1	7.9388E-1	1.3240E+3
-3.3477E-1	7.8999E-1	9.5000E+2
-3.3442E-1	7.8659E-1	3.2400E+2
-3.3407E-1	7.8489E-1	1.1040E+3
-3.3371E-1	7.8392E-1	3.4000E+2
-3.3348E-1	7.8246E-1	6.4100E+2
-3.3312E-1	7.7833E-1	7.6800E+2
-3.3277E-1	7.7566E-1	8.1100E+2
-3.3242E-1	7.7372E-1	3.1300E+2
-3.3207E-1	7.7275E-1	4.2400E+2
-3.3171E-1	7.6837E-1	4.5400E+2
-3.3148E-1	7.6619E-1	5.7700E+2
-3.3112E-1	7.6473E-1	4.5800E+2
-3.3077E-1	7.6084E-1	1.1600E+3
-3.3042E-1	7.5866E-1	4.7700E+2
-3.3007E-1	7.5793E-1	6.2900E+2
-3.2983E-1	7.5428E-1	1.0940E+3
-3.2948E-1	7.5283E-1	1.0200E+3
-3.2912E-1	7.4942E-1	8.9400E+2
-3.2877E-1	7.4724E-1	9.0700E+2
-3.2842E-1	7.4627E-1	9.7700E+2
-3.2818E-1	7.4286E-1	1.0620E+3
-3.2783E-1	7.4068E-1	5.9700E+2
-3.2748E-1	7.3801E-1	9.3700E+2
-3.2712E-1	7.3606E-1	6.4400E+2
-3.2677E-1	7.3339E-1	1.0030E+3
-3.2642E-1	7.3218E-1	2.9800E+2
-3.2618E-1	7.2999E-1	6.1700E+2
-3.2583E-1	7.2707E-1	6.8700E+2
-3.2548E-1	7.2270E-1	-5.7000E+1
-3.2512E-1	7.2076E-1	9.0800E+2
-3.2477E-1	7.1833E-1	8.8300E+2
-3.2454E-1	7.1736E-1	5.9100E+2
-3.2418E-1	7.1444E-1	7.9000E+2
-3.2383E-1	7.1080E-1	6.0300E+2
-3.2348E-1	7.1007E-1	1.5700E+2
-3.2312E-1	7.0643E-1	9.2100E+2
-3.2289E-1	7.0351E-1	7.3200E+2
-3.2254E-1	7.0254E-1	9.3500E+2
-3.2218E-1	6.9841E-1	8.8700E+2
-3.2183E-1	6.9695E-1	1.1960E+3
-3.2148E-1	6.9428E-1	1.0800E+2
-3.2124E-1	6.9136E-1	1.2130E+3
-3.2089E-1	6.8893E-1	8.4000E+2
-3.2054E-1	6.8699E-1	1.0190E+3
-3.2018E-1	6.8456E-1	4.7500E+2
-3.1983E-1	6.8116E-1	8.8400E+2
-3.1948E-1	6.8019E-1	9.9100E+2
-3.1924E-1	6.7776E-1	1.1450E+3
-3.1889E-1	6.7654E-1	8.7200E+2
-3.1854E-1	6.7436E-1	9.7600E+2
-3.1818E-1	6.7096E-1	6.0400E+2
-3.1783E-1	6.6780E-1	5.8800E+2
-3.1759E-1	6.6415E-1	1.9700E+2
-3.1724E-1	6.6367E-1	9.9700E+2
-3.1689E-1	6.6002E-1	3.2600E+2
-3.1654E-1	6.5881E-1	9.6100E+2
-3.1618E-1	6.5541E-1	3.7100E+2
-3.1595E-1	6.5298E-1	5.7800E+2
-3.1559E-1	6.5055E-1	1.3150E+3
-3.1524E-1	6.4958E-1	7.7200E+2
-3.1489E-1	6.4593E-1	7.7600E+2
-3.1453E-1	6.4375E-1	9.5700E+2
-3.1430E-1	6.3913E-1	1.1880E+3
-3.1395E-1	6.3865E-1	1.1240E+3
-3.1359E-1	6.3452E-1	5.6400E+2
-3.1324E-1	6.3427E-1	1.3240E+3
-3.1289E-1	6.3306E-1	6.5400E+2
-3.1253E-1	6.2844E-1	5.8300E+2
-3.1230E-1	6.2480E-1	1.0410E+3
-3.1195E-1	6.2699E-1	4.6200E+2
-3.1159E-1	6.2237E-1	1.3030E+3
-3.1124E-1	6.2091E-1	5.1900E+2
-3.1089E-1	6.2018E-1	1.7300E+2
-3.1065E-1	6.1678E-1	5.7800E+2
-3.1030E-1	6.1120E-1	9.9400E+2
-3.0995E-1	6.0974E-1	1.2650E+3
-3.0959E-1	6.0828E-1	7.4600E+2
-3.0924E-1	6.0755E-1	7.8700E+2
-3.0901E-1	6.0488E-1	1.0760E+3
-3.0865E-1	6.0196E-1	7.6900E+2
-3.0830E-1	5.9929E-1	6.0300E+2
-3.0795E-1	5.9735E-1	4.3900E+2
-3.0759E-1	5.9468E-1	7.4900E+2
-3.0724E-1	5.9443E-1	4.5500E+2
-3.0701E-1	5.9127E-1	4.8900E+2
-3.0665E-1	5.8885E-1	1.1900E+3
-3.0630E-1	5.8690E-1	6.0400E+2
-3.0595E-1	5.8326E-1	8.7900E+2
-3.0559E-1	5.8253E-1	1.0980E+3
-3.0536E-1	5.8034E-1	2.5100E+2
-3.0500E-1	5.7791E-1	3.8500E+2
-3.0465E-1	5.7500E-1	7.0600E+2
-3.0430E-1	5.7184E-1	1.0470E+3
-3.0395E-1	5.7038E-1	7.9800E+2
-3.0371E-1	5.7014E-1	6.8100E+2
-3.0336E-1	5.6795E-1	6.4500E+2
-3.0300E-1	5.6382E-1	3.8000E+2
-3.0265E-1	5.6285E-1	8.7500E+2
-3.0230E-1	5.5945E-1	1.0340E+3
-3.0206E-1	5.5824E-1	8.9100E+2
-3.0171E-1	5.5556E-1	4.9800E+2
-3.0136E-1	5.5386E-1	3.0800E+2
-3.0100E-1	5.5362E-1	6.6000E+2
-3.0065E-1	5.4998E-1	8.7600E+2
-3.0030E-1	5.4876E-1	9.7200E+2
-3.0006E-1	5.4633E-1	7.2800E+2
-2.9971E-1	5.4536E-1	4.2100E+2
-2.9936E-1	5.4172E-1	1.0690E+3
-2.9900E-1	5.4123E-1	1.1620E+3
-2.9865E-1	5.3880E-1	1.0210E+3
-2.9842E-1	5.3661E-1	6.9700E+2
-2.9806E-1	5.3491E-1	8.7600E+2
-2.9771E-1	5.3200E-1	7.1800E+2
-2.9736E-1	5.3200E-1	1.9200E+2
-2.9700E-1	5.3006E-1	7.8700E+2
