Aux out [V]	Aux in [V]	PDH out [a.u.]
-1.7947E-1	1.0397E+0	-6.8500E+2
-1.7841E-1	1.0422E+0	-7.2400E+2
-1.7747E-1	1.0409E+0	-9.3800E+2
-1.7652E-1	1.0412E+0	-9.3500E+2
-1.7558E-1	1.0426E+0	-6.6800E+2
-1.7476E-1	1.0422E+0	-2.5900E+2
-1.7370E-1	1.0434E+0	-6.2800E+2
-1.7276E-1	1.0439E+0	-8.8900E+2
-1.7182E-1	1.0456E+0	5.5500E+2
-1.7088E-1	1.0451E+0	-7.6100E+2
-1.7005E-1	1.0458E+0	-1.1460E+3
-1.6899E-1	1.0456E+0	-4.3300E+2
-1.6805E-1	1.0446E+0	-1.3500E+2
-1.6711E-1	1.0468E+0	-9.3300E+2
-1.6617E-1	1.0475E+0	-5.1500E+2
-1.6535E-1	1.0470E+0	-9.8300E+2
-1.6441E-1	1.0468E+0	-8.5100E+2
-1.6335E-1	1.0473E+0	-3.0800E+2
-1.6241E-1	1.0482E+0	-1.7200E+2
-1.6146E-1	1.0480E+0	-6.8900E+2
-1.6064E-1	1.0480E+0	-6.5400E+2
-1.5970E-1	1.0477E+0	-8.9800E+2
-1.5864E-1	1.0497E+0	-8.1300E+2
-1.5770E-1	1.0492E+0	-7.5800E+2
-1.5676E-1	1.0482E+0	-8.2800E+2
-1.5593E-1	1.0487E+0	-1.0010E+3
-1.5499E-1	1.0482E+0	-6.8100E+2
-1.5393E-1	1.0504E+0	-2.6300E+2
-1.5299E-1	1.0492E+0	-4.9000E+2
-1.5205E-1	1.0492E+0	-6.5400E+2
-1.5123E-1	1.0497E+0	-6.5600E+2
-1.5029E-1	1.0499E+0	-3.2500E+2
-1.4923E-1	1.0499E+0	-7.2700E+2
-1.4829E-1	1.0490E+0	-9.6200E+2
-1.4735E-1	1.0504E+0	-1.0690E+3
-1.4652E-1	1.0485E+0	-3.7400E+2
-1.4558E-1	1.0490E+0	-1.1690E+3
-1.4452E-1	1.0494E+0	-7.2600E+2
-1.4358E-1	1.0485E+0	-4.8900E+2
-1.4264E-1	1.0509E+0	-5.3300E+2
-1.4182E-1	1.0490E+0	-7.2200E+2
-1.4087E-1	1.0497E+0	-3.5700E+2
-1.3993E-1	1.0487E+0	-7.7200E+2
-1.3887E-1	1.0504E+0	-7.7500E+2
-1.3793E-1	1.0494E+0	-3.9000E+2
-1.3699E-1	1.0502E+0	-1.0010E+3
-1.3617E-1	1.0502E+0	-4.5500E+2
-1.3523E-1	1.0499E+0	-6.5500E+2
-1.3417E-1	1.0477E+0	-6.5700E+2
-1.3323E-1	1.0499E+0	-5.7200E+2
-1.3229E-1	1.0494E+0	-6.2800E+2
-1.3146E-1	1.0492E+0	-1.0130E+3
-1.3052E-1	1.0494E+0	-8.9400E+2
-1.2946E-1	1.0502E+0	-3.3000E+2
-1.2852E-1	1.0490E+0	-3.4900E+2
-1.2758E-1	1.0487E+0	-4.9700E+2
-1.2676E-1	1.0511E+0	-3.7000E+2
-1.2581E-1	1.0485E+0	-4.9700E+2
-1.2476E-1	1.0482E+0	-6.2000E+2
-1.2381E-1	1.0502E+0	-1.1610E+3
-1.2287E-1	1.0480E+0	-2.8600E+2
-1.2205E-1	1.0509E+0	-1.0280E+3
-1.2111E-1	1.0492E+0	-8.0800E+2
-1.2005E-1	1.0492E+0	-4.1200E+2
-1.1911E-1	1.0497E+0	-8.7400E+2
-1.1817E-1	1.0487E+0	4.3000E+1
-1.1734E-1	1.0494E+0	-3.0400E+2
-1.1640E-1	1.0480E+0	-8.0600E+2
-1.1546E-1	1.0494E+0	-7.7300E+2
-1.1440E-1	1.0497E+0	-1.9600E+2
-1.1346E-1	1.0485E+0	-7.5800E+2
-1.1264E-1	1.0475E+0	-5.2700E+2
-1.1170E-1	1.0475E+0	-2.4100E+2
-1.1076E-1	1.0475E+0	-7.6600E+2
-1.0970E-1	1.0504E+0	4.9000E+1
-1.0875E-1	1.0475E+0	-3.4600E+2
-1.0793E-1	1.0487E+0	1.3800E+2
-1.0699E-1	1.0477E+0	7.7000E+1
-1.0605E-1	1.0485E+0	-5.8300E+2
-1.0499E-1	1.0475E+0	-6.8500E+2
-1.0405E-1	1.0475E+0	-6.3800E+2
-1.0323E-1	1.0456E+0	-5.6100E+2
-1.0228E-1	1.0485E+0	-2.4200E+2
-1.0134E-1	1.0485E+0	-4.3900E+2
-1.0028E-1	1.0473E+0	-5.6700E+2
-9.9342E-2	1.0482E+0	-1.0380E+3
-9.8519E-2	1.0473E+0	-3.0000E+2
-9.7578E-2	1.0463E+0	-5.8000E+2
-9.6636E-2	1.0473E+0	-6.6100E+2
-9.5577E-2	1.0465E+0	-3.0100E+2
-9.4636E-2	1.0473E+0	-4.8800E+2
-9.3813E-2	1.0477E+0	-2.0400E+2
-9.2871E-2	1.0458E+0	-7.6800E+2
-9.1930E-2	1.0463E+0	6.7000E+1
-9.0989E-2	1.0473E+0	-1.5600E+2
-8.9930E-2	1.0487E+0	-6.6500E+2
-8.8989E-2	1.0465E+0	-5.9800E+2
-8.8165E-2	1.0475E+0	-4.6800E+2
-8.7224E-2	1.0482E+0	-9.3400E+2
-8.6283E-2	1.0456E+0	-9.4100E+2
-8.5224E-2	1.0480E+0	-6.1600E+2
-8.4282E-2	1.0463E+0	-1.0580E+3
-8.3459E-2	1.0473E+0	2.1700E+2
-8.2518E-2	1.0468E+0	-4.2900E+2
-8.1576E-2	1.0463E+0	-2.4000E+2
-8.0517E-2	1.0470E+0	-4.0200E+2
-7.9576E-2	1.0468E+0	-6.3100E+2
-7.8753E-2	1.0458E+0	-6.5900E+2
-7.7811E-2	1.0451E+0	-8.4400E+2
-7.6870E-2	1.0453E+0	1.0000E+0
-7.5811E-2	1.0453E+0	-7.5200E+2
-7.4870E-2	1.0463E+0	-1.0000E+0
-7.4046E-2	1.0443E+0	-6.5800E+2
-7.3105E-2	1.0458E+0	-1.7100E+2
-7.2164E-2	1.0453E+0	-4.3800E+2
-7.1105E-2	1.0456E+0	7.9000E+1
-7.0164E-2	1.0456E+0	-6.7800E+2
-6.9340E-2	1.0458E+0	-4.6400E+2
-6.8399E-2	1.0468E+0	-6.4300E+2
-6.7458E-2	1.0446E+0	-4.3400E+2
-6.6516E-2	1.0446E+0	-6.4000E+1
-6.5458E-2	1.0439E+0	-1.0430E+3
-6.4634E-2	1.0451E+0	-9.4100E+2
-6.3693E-2	1.0463E+0	-1.1540E+3
-6.2751E-2	1.0458E+0	-7.6800E+2
-6.1810E-2	1.0446E+0	-6.0100E+2
-6.0751E-2	1.0439E+0	-8.2100E+2
-5.9928E-2	1.0443E+0	-6.0000E+2
-5.8986E-2	1.0458E+0	-2.9200E+2
