Aux out [V]	Aux in [V]	PDH out [a.u.]
-2.5065E-1	5.3103E-1	-1.0990E+3
-2.4959E-1	5.3710E-1	-1.8480E+3
-2.4853E-1	5.4390E-1	-1.5040E+3
-2.4759E-1	5.5071E-1	-1.0570E+3
-2.4665E-1	5.5751E-1	-1.3930E+3
-2.4571E-1	5.6455E-1	-1.0280E+3
-2.4477E-1	5.7063E-1	-1.4940E+3
-2.4371E-1	5.7427E-1	-1.1160E+3
-2.4276E-1	5.8399E-1	-1.5240E+3
-2.4182E-1	5.9103E-1	-1.9690E+3
-2.4088E-1	5.9929E-1	-1.9870E+3
-2.3994E-1	6.0464E-1	-5.1500E+2
-2.3888E-1	6.1095E-1	-1.3470E+3
-2.3794E-1	6.1824E-1	-1.5120E+3
-2.3700E-1	6.2626E-1	-2.0130E+3
-2.3606E-1	6.3209E-1	-8.1200E+2
-2.3512E-1	6.3865E-1	-1.3410E+3
-2.3406E-1	6.4618E-1	-1.2170E+3
-2.3312E-1	6.5395E-1	-1.1450E+3
-2.3218E-1	6.6100E-1	-9.2300E+2
-2.3112E-1	6.6926E-1	-1.8080E+3
-2.3018E-1	6.7703E-1	-1.6580E+3
-2.2923E-1	6.8262E-1	-1.3460E+3
-2.2818E-1	6.9039E-1	-1.4890E+3
-2.2723E-1	6.9719E-1	-1.2840E+3
-2.2629E-1	7.0375E-1	-1.4140E+3
-2.2535E-1	7.1298E-1	-1.2990E+3
-2.2441E-1	7.2124E-1	-2.2450E+3
-2.2335E-1	7.2707E-1	-2.0100E+3
-2.2241E-1	7.3485E-1	-1.7220E+3
-2.2147E-1	7.4262E-1	-1.4810E+3
-2.2053E-1	7.4748E-1	-1.3570E+3
-2.1959E-1	7.5550E-1	-1.1290E+3
-2.1853E-1	7.6473E-1	-1.7510E+3
-2.1759E-1	7.7129E-1	-1.3320E+3
-2.1665E-1	7.7785E-1	-1.5310E+3
-2.1570E-1	7.8465E-1	-1.4790E+3
-2.1465E-1	7.9121E-1	-1.0480E+3
-2.1359E-1	7.9874E-1	-1.2690E+3
-2.1265E-1	8.0554E-1	-1.2500E+3
-2.1170E-1	8.1623E-1	-1.5680E+3
-2.1076E-1	8.2182E-1	-1.3620E+3
-2.0982E-1	8.2862E-1	-1.3340E+3
-2.0876E-1	8.3615E-1	-1.3700E+3
-2.0782E-1	8.4198E-1	-1.7100E+3
-2.0688E-1	8.5000E-1	-9.8500E+2
-2.0594E-1	8.5340E-1	-1.8000E+3
-2.0500E-1	8.5874E-1	-1.2620E+3
-2.0406E-1	8.6433E-1	-1.3400E+3
-2.0300E-1	8.7235E-1	-8.3900E+2
-2.0206E-1	8.7721E-1	-8.4600E+2
-2.0111E-1	8.8134E-1	-1.8100E+3
-2.0017E-1	8.8935E-1	-9.9800E+2
-1.9923E-1	8.9518E-1	-1.4440E+3
-1.9806E-1	8.9883E-1	-1.4010E+3
-1.9711E-1	9.0320E-1	-1.2960E+3
-1.9617E-1	9.0879E-1	-1.6120E+3
-1.9523E-1	9.1389E-1	-1.4600E+3
-1.9429E-1	9.1972E-1	-5.9200E+2
-1.9323E-1	9.2458E-1	-7.0400E+2
-1.9229E-1	9.2847E-1	-1.3420E+3
-1.9135E-1	9.3405E-1	-1.4970E+3
-1.9041E-1	9.3697E-1	-1.1100E+3
-1.8947E-1	9.4474E-1	-1.7050E+3
-1.8841E-1	9.4644E-1	-1.3630E+3
-1.8747E-1	9.5179E-1	-1.2290E+3
-1.8653E-1	9.5495E-1	-1.0340E+3
-1.8558E-1	9.5932E-1	-9.5900E+2
-1.8464E-1	9.6102E-1	-1.0220E+3
-1.8358E-1	9.6491E-1	-8.3300E+2
-1.8264E-1	9.6904E-1	-1.6600E+3
-1.8158E-1	9.7171E-1	-8.9400E+2
-1.8064E-1	9.7608E-1	-1.4300E+3
-1.7970E-1	9.7802E-1	-1.5150E+3
-1.7876E-1	9.8167E-1	-1.2710E+3
-1.7770E-1	9.8628E-1	-8.9400E+2
-1.7676E-1	9.8823E-1	-6.7400E+2
